Year,Crop_Name,Crop_Type,District_Name,Area_Hectares,Production_Tonnes,Yield_Kg_Per_Hectare,Season,Temperature_Celsius_Avg,Rainfall_MM,Irrigation_Requirement_MM,Soil_Type,Market_Price_PKR_Per_Kg,Export_Status,Quality_Grade,Purity_Percent
2025,Sunflower,Oilseed,Faisalabad,19000,28500,1500,Spring,34.7,490,240,Sandy Loam,98,Exported,A,98.0
2025,Sunflower,Oilseed,Sahiwal,11600,15080,1300,Spring,33.6,460,270,Loamy,93,Local Market,B,95.7
2025,Sunflower,Oilseed,Gujranwala,10000,13000,1300,Spring,33.0,495,265,Clay Loam,91,Local Market,B,95.3
2025,Cotton Seed,Oilseed,Multan,29500,59000,2000,Summer,35.6,410,300,Clay Loam,78,Exported,A,99.0
2025,Cotton Seed,Oilseed,Bahawalpur,25000,50000,2000,Summer,36.7,365,320,Sandy,74,Exported,A,98.3
2025,Cotton Seed,Oilseed,Vehari,17000,34000,2000,Summer,36.3,395,310,Loamy,76,Local Market,B,97.0
2025,Rape Seed,Oilseed,Sialkot,5000,4000,800,Winter,19.7,750,150,Sandy Loam,152,Exported,A,99.7
2025,Rape Seed,Oilseed,Gujrat,3500,2800,800,Winter,19.4,720,160,Loamy,148,Local Market,B,98.3
2025,Gram,Pulse,Okara,11000,10450,950,Winter,21.0,670,120,Sandy Loam,128,Exported,A,98.6
2025,Gram,Pulse,Kasur,9400,8930,950,Winter,21.3,680,110,Loamy,129,Exported,A,98.9
2025,Gram,Pulse,Sialkot,6700,5695,850,Winter,18.7,730,100,Clay Loam,124,Local Market,B,97.1
